# r Si-Si
9.999999999999958575e-03 0.000000000000000000e+00
3.000000000000007522e-02 0.000000000000000000e+00
5.000000000000018319e-02 0.000000000000000000e+00
7.000000000000020095e-02 0.000000000000000000e+00
8.999999999999988565e-02 1.204189177824518397e+00
1.099999999999996397e-01 0.000000000000000000e+00
1.299999999999997824e-01 1.735170232613282515e+00
1.499999999999992728e-01 1.303944494330692150e+00
1.700000000000010392e-01 3.385047919230216307e-01
1.899999999999995859e-01 8.131609577191404314e-01
2.100000000000007139e-01 6.657601798848554742e-01
2.299999999999987887e-01 3.700530974674845486e-01
2.500000000000000000e-01 9.397297208609259878e-01
2.700000000000010170e-01 9.400160492341305130e-01
2.900000000000002576e-01 8.148792059129457144e-01
3.100000000000011080e-01 1.731961411101282655e+00
3.299999999999986278e-01 1.348632922532966294e+00
3.499999999999990896e-01 9.591583005087572777e-01
3.700000000000007172e-01 8.582925785467822033e-01
3.900000000000005129e-01 1.223186027255580788e+00
4.099999999999976996e-01 1.048532686162821248e+00
4.300000000000027134e-01 1.112160300499789090e+00
4.500000000000018985e-01 1.112230030604211439e+00
4.699999999999990852e-01 1.374243654354956767e+00
4.899999999999978262e-01 1.060435333719982109e+00
5.100000000000020073e-01 1.016555395118903693e+00
5.300000000000009148e-01 1.115603832517066740e+00
5.499999999999992673e-01 1.100700024155155665e+00
5.699999999999962874e-01 8.439700926238298262e-01
5.900000000000026334e-01 1.153457347276566125e+00
6.100000000000020961e-01 8.421989520291855991e-01
6.299999999999977840e-01 9.869739986200279924e-01
6.500000000000031308e-01 7.880998279608862900e-01
6.699999999999979305e-01 8.072037345856638568e-01
6.899999999999982814e-01 9.462208997411361011e-01
7.100000000000004086e-01 1.029659775696022850e+00
7.299999999999976508e-01 1.102660092779014667e+00
7.500000000000000000e-01 1.166513669061103320e+00
7.700000000000027933e-01 1.007597915602658656e+00
7.899999999999988143e-01 1.114151533680407757e+00
8.100000000000018296e-01 1.089667630329721693e+00
8.300000000000040679e-01 8.814096130312213395e-01
8.499999999999963141e-01 8.946421166121979462e-01
8.700000000000028821e-01 9.057403187089468899e-01
8.899999999999942402e-01 1.013862021120724100e+00
9.099999999999971445e-01 9.461347911421060797e-01
9.300000000000049338e-01 1.019114935448836912e+00
9.499999999999956257e-01 1.150286190547099574e+00
9.699999999999989742e-01 1.082524605940022644e+00
9.900000000000033218e-01 1.109177652435021422e+00
1.009999999999996456e+00 1.017682293009191996e+00
1.030000000000000249e+00 1.033934958262800130e+00
1.050000000000004929e+00 1.083755697347936087e+00
1.069999999999994955e+00 8.810900901678613284e-01
1.090000000000000524e+00 1.162297286327990342e+00
1.110000000000007203e+00 1.081046793553960716e+00
1.129999999999996785e+00 1.158169209245238918e+00
1.150000000000000577e+00 1.007153283519726772e+00
1.169999999999997708e+00 1.144724493578194169e+00
1.189999999999998170e+00 1.002829609062973137e+00
1.209999999999998632e+00 1.070292903703420562e+00
1.229999999999999760e+00 1.132873840951503341e+00
1.250000000000000000e+00 9.715512139543306391e-01
