# r Si-Si
1.000000000000000368e-02 0.000000000000000000e+00
3.000000000000001971e-02 0.000000000000000000e+00
5.000000000000002359e-02 0.000000000000000000e+00
6.999999999999999278e-02 0.000000000000000000e+00
8.999999999999998279e-02 0.000000000000000000e+00
1.099999999999999728e-01 0.000000000000000000e+00
1.299999999999999212e-01 0.000000000000000000e+00
1.500000000000000222e-01 0.000000000000000000e+00
1.699999999999999567e-01 0.000000000000000000e+00
1.900000000000001132e-01 0.000000000000000000e+00
2.099999999999999922e-01 0.000000000000000000e+00
2.300000000000002043e-01 0.000000000000000000e+00
2.500000000000000000e-01 0.000000000000000000e+00
2.699999999999997957e-01 0.000000000000000000e+00
2.899999999999999245e-01 0.000000000000000000e+00
3.099999999999999423e-01 0.000000000000000000e+00
3.300000000000000155e-01 0.000000000000000000e+00
3.499999999999998113e-01 0.000000000000000000e+00
3.699999999999997735e-01 0.000000000000000000e+00
3.900000000000001243e-01 0.000000000000000000e+00
4.100000000000000866e-01 0.000000000000000000e+00
4.299999999999998268e-01 0.000000000000000000e+00
4.499999999999997335e-01 0.000000000000000000e+00
4.700000000000002509e-01 0.000000000000000000e+00
4.900000000000001577e-01 0.000000000000000000e+00
5.099999999999998979e-01 0.000000000000000000e+00
5.299999999999998046e-01 0.000000000000000000e+00
5.500000000000002665e-01 0.000000000000000000e+00
5.700000000000001732e-01 0.000000000000000000e+00
5.899999999999999689e-01 0.000000000000000000e+00
6.099999999999997646e-01 0.000000000000000000e+00
6.300000000000001155e-01 0.000000000000000000e+00
6.499999999999998002e-01 0.000000000000000000e+00
6.700000000000004841e-01 0.000000000000000000e+00
6.900000000000002798e-01 0.000000000000000000e+00
7.100000000000005196e-01 0.000000000000000000e+00
7.300000000000003153e-01 0.000000000000000000e+00
7.500000000000000000e-01 0.000000000000000000e+00
7.699999999999996847e-01 0.000000000000000000e+00
7.899999999999994804e-01 0.000000000000000000e+00
8.099999999999997202e-01 0.000000000000000000e+00
8.299999999999994049e-01 0.000000000000000000e+00
8.500000000000004219e-01 0.000000000000000000e+00
8.700000000000002176e-01 0.000000000000000000e+00
8.900000000000003464e-01 0.000000000000000000e+00
9.100000000000000311e-01 0.000000000000000000e+00
9.299999999999998268e-01 0.000000000000000000e+00
9.499999999999995115e-01 0.000000000000000000e+00
9.699999999999995293e-01 0.000000000000000000e+00
9.899999999999993250e-01 0.000000000000000000e+00
1.010000000000000675e+00 0.000000000000000000e+00
1.030000000000000471e+00 0.000000000000000000e+00
1.050000000000000266e+00 0.000000000000000000e+00
1.070000000000000062e+00 0.000000000000000000e+00
1.090000000000000302e+00 0.000000000000000000e+00
1.109999999999999654e+00 0.000000000000000000e+00
1.130000000000000115e+00 0.000000000000000000e+00
1.149999999999999245e+00 0.000000000000000000e+00
1.170000000000000817e+00 0.000000000000000000e+00
1.189999999999999947e+00 0.000000000000000000e+00
1.210000000000000631e+00 1.585618977706507865e-02
1.229999999999999760e+00 0.000000000000000000e+00
1.250000000000000000e+00 1.485765167181085297e-02
1.270000000000000462e+00 0.000000000000000000e+00
1.289999999999999369e+00 1.395055043201279092e-02
1.310000000000000275e+00 1.352783932421347361e-02
1.329999999999998961e+00 0.000000000000000000e+00
1.350000000000000755e+00 2.547616064700436792e-02
1.369999999999999885e+00 0.000000000000000000e+00
1.390000000000000346e+00 0.000000000000000000e+00
1.409999999999999254e+00 0.000000000000000000e+00
1.429999999999999938e+00 0.000000000000000000e+00
1.450000000000000400e+00 0.000000000000000000e+00
1.469999999999999307e+00 1.074330967742035021e-02
1.490000000000000213e+00 1.045683862482439663e-02
1.509999999999999787e+00 1.018167475246781542e-02
1.530000000000000693e+00 0.000000000000000000e+00
1.549999999999999378e+00 0.000000000000000000e+00
1.570000000000000062e+00 0.000000000000000000e+00
1.590000000000001190e+00 0.000000000000000000e+00
1.609999999999999654e+00 8.956165832104909588e-03
1.630000000000000782e+00 0.000000000000000000e+00
1.649999999999999023e+00 8.527196235954321094e-03
1.670000000000001261e+00 8.324177460532164799e-03
1.689999999999999281e+00 0.000000000000000000e+00
1.710000000000000631e+00 0.000000000000000000e+00
1.729999999999998872e+00 0.000000000000000000e+00
1.750000000000000000e+00 0.000000000000000000e+00
1.770000000000001128e+00 0.000000000000000000e+00
1.789999999999999369e+00 7.245508715490479694e-03
1.810000000000000719e+00 7.086273246589550566e-03
1.829999999999998739e+00 0.000000000000000000e+00
1.850000000000000977e+00 0.000000000000000000e+00
1.869999999999999218e+00 0.000000000000000000e+00
1.890000000000000346e+00 0.000000000000000000e+00
1.909999999999998366e+00 0.000000000000000000e+00
1.929999999999999938e+00 1.246496187435667917e-02
1.950000000000001066e+00 6.105291908620643672e-03
1.969999999999999307e+00 5.981956915585642104e-03
1.990000000000000657e+00 0.000000000000000000e+00
2.009999999999998455e+00 0.000000000000000000e+00
2.030000000000000693e+00 0.000000000000000000e+00
2.049999999999998934e+00 0.000000000000000000e+00
2.069999999999999840e+00 0.000000000000000000e+00
2.090000000000001634e+00 0.000000000000000000e+00
2.109999999999999876e+00 5.214483541731370492e-03
2.130000000000000782e+00 0.000000000000000000e+00
2.149999999999999467e+00 0.000000000000000000e+00
2.170000000000001261e+00 4.930113541409284449e-03
2.189999999999999059e+00 0.000000000000000000e+00
2.209999999999999964e+00 1.901305669427004810e-02
2.229999999999999094e+00 5.135225405157185785e-02
2.250000000000000000e+00 5.961491372554890422e-02
2.270000000000000906e+00 9.461156671361246884e-02
2.290000000000000480e+00 5.312353714127336923e-01
2.310000000000000941e+00 2.679992031289612164e+00
2.329999999999998739e+00 9.903837585911526631e+00
2.350000000000000089e+00 1.833273260500867963e+01
2.369999999999999662e+00 1.635897104778990041e+01
2.390000000000000124e+00 7.185605790186269104e+00
2.409999999999997922e+00 1.842654071147115324e+00
2.430000000000000604e+00 3.852924866058033415e-01
2.450000000000001510e+00 5.027918566039599885e-02
2.469999999999999307e+00 1.141574971754830484e-02
2.489999999999999325e+00 1.123310164998283373e-02
2.509999999999999787e+00 3.684934074240768000e-03
2.530000000000000693e+00 3.626904825170351124e-03
2.549999999999998490e+00 0.000000000000000000e+00
2.569999999999998508e+00 3.514884226778984284e-03
2.590000000000002078e+00 0.000000000000000000e+00
2.609999999999999876e+00 3.407974397485866516e-03
2.629999999999999449e+00 0.000000000000000000e+00
2.650000000000000799e+00 3.305869105962756273e-03
2.670000000000001261e+00 0.000000000000000000e+00
2.689999999999999059e+00 3.208284718209552210e-03
2.709999999999998632e+00 0.000000000000000000e+00
2.729999999999999982e+00 9.344874677099894791e-03
2.750000000000000000e+00 6.139629399035643684e-03
2.770000000000000018e+00 9.076936414163303338e-03
2.790000000000001368e+00 2.982422705023058795e-03
2.810000000000000941e+00 8.820358653617061881e-03
2.829999999999998739e+00 2.898710106080715481e-03
2.849999999999998757e+00 5.716338742985035970e-03
2.870000000000000551e+00 2.818473217248350978e-03
2.890000000000000124e+00 5.559196690408883465e-03
2.909999999999997922e+00 2.741522255073143739e-03
2.930000000000001492e+00 1.081689284743516354e-02
2.950000000000001510e+00 0.000000000000000000e+00
2.969999999999999307e+00 2.631872967969421575e-03
2.989999999999998881e+00 7.790345555261625476e-03
3.010000000000000675e+00 1.024955158522772129e-02
3.030000000000000693e+00 1.011469102295784253e-02
3.049999999999998490e+00 4.991237367368054310e-03
3.069999999999997620e+00 7.389625529812499788e-03
3.090000000000002078e+00 4.862851236317107875e-03
3.109999999999999876e+00 4.800507849132225335e-03
3.129999999999999005e+00 1.184838928793716974e-02
3.150000000000001243e+00 7.019047015222604040e-03
3.170000000000001261e+00 2.310252762375482674e-03
3.189999999999998614e+00 6.844124943670143804e-03
3.209999999999997744e+00 2.253035286059361982e-03
3.230000000000000426e+00 2.225220391094221220e-03
3.250000000000000000e+00 6.593752254204932745e-03
3.269999999999999574e+00 4.342227762683186290e-03
3.290000000000002256e+00 0.000000000000000000e+00
3.310000000000001386e+00 2.118957052268469372e-03
3.329999999999998739e+00 4.187161252466748036e-03
3.349999999999998312e+00 4.137314686926340038e-03
3.370000000000001439e+00 2.044176478884563060e-03
3.390000000000000124e+00 4.040255245720578842e-03
3.409999999999997478e+00 9.982503350606693193e-03
3.430000000000002380e+00 7.893143236599214213e-03
3.450000000000001954e+00 3.900947023982619805e-03
3.469999999999999307e+00 9.640272622385398504e-03
3.489999999999997993e+00 1.334213899786163178e-02
3.510000000000001119e+00 7.537443098752281967e-03
3.530000000000000693e+00 1.863068790373652436e-03
3.549999999999998046e+00 1.105281392790562027e-02
3.569999999999996732e+00 9.107766743487700004e-03
3.590000000000002522e+00 5.403942229294651095e-03
3.609999999999999876e+00 7.125641028512224966e-03
3.629999999999998561e+00 1.233284162823572797e-02
3.650000000000002132e+00 1.219805782277309618e-02
3.670000000000001261e+00 2.068366551474929219e-02
3.689999999999998614e+00 1.705005042468735882e-02
3.709999999999997300e+00 3.204676481771061292e-02
3.730000000000000870e+00 7.508847305037794073e-02
3.750000000000000000e+00 1.815969639762836374e-01
3.769999999999998685e+00 7.448358761834777964e-01
3.790000000000002700e+00 2.584333154683242650e+00
3.810000000000001386e+00 7.335965069428304730e+00
3.829999999999998739e+00 1.385280933811960224e+01
3.849999999999997868e+00 1.658643257729461951e+01
3.870000000000001439e+00 1.335711482938033079e+01
3.890000000000000124e+00 6.501899559559682018e+00
3.909999999999997478e+00 2.317285452171347959e+00
3.930000000000003268e+00 6.914348366523415113e-01
3.950000000000001954e+00 1.621850586116166115e-01
3.969999999999999307e+00 9.279788554267491552e-02
3.989999999999997993e+00 4.083107309297855092e-02
4.010000000000001563e+00 3.753731161840166697e-02
4.030000000000000249e+00 3.001841617297060227e-02
4.049999999999998046e+00 2.406120956123269233e-02
4.069999999999996732e+00 3.503723124792850613e-02
4.090000000000002522e+00 2.498069327484353508e-02
4.109999999999999432e+00 6.871712274035166393e-03
4.129999999999998117e+00 2.313808608826307955e-02
4.150000000000002132e+00 1.078381468878479403e-02
4.170000000000000817e+00 1.201569871625336565e-02
4.189999999999998614e+00 1.322362706609318643e-02
4.209999999999997300e+00 1.178845701512511862e-02
4.230000000000000426e+00 6.487358880673788596e-03
4.250000000000000000e+00 8.997023227407677584e-03
4.269999999999997797e+00 1.655260195284290539e-02
4.290000000000001812e+00 1.892149081821728127e-02
4.310000000000001386e+00 7.498517234672060980e-03
4.330000000000000071e+00 1.609704843116687573e-02
4.349999999999997868e+00 3.435248950721739997e-02
4.370000000000001883e+00 5.835217771239935292e-02
4.389999999999998792e+00 1.240757463558537499e-01
4.409999999999997478e+00 2.435183583559654696e-01
4.430000000000003268e+00 6.175068450997832636e-01
4.450000000000000178e+00 1.835906113218506830e+00
4.469999999999999751e+00 4.756763186520301723e+00
4.489999999999999325e+00 8.763361351831546742e+00
4.510000000000000675e+00 1.118997124050938652e+01
4.530000000000000249e+00 9.521120914782944311e+00
4.549999999999999822e+00 5.769542140423136622e+00
4.569999999999996732e+00 2.545551291630196555e+00
4.590000000000002522e+00 9.223141318732150928e-01
4.610000000000002096e+00 3.386402882346374321e-01
4.629999999999998117e+00 1.451181068947789976e-01
4.650000000000003020e+00 7.193623279486832667e-02
4.669999999999999041e+00 3.725744617171249107e-02
4.689999999999998614e+00 3.482948553433363320e-02
4.709999999999998188e+00 2.511587067397716075e-02
4.729999999999999538e+00 1.764027926013719827e-02
