# r Si-Si
1.000000000000000715e-02 0.000000000000000000e+00
2.999999999999991909e-02 0.000000000000000000e+00
4.999999999999988481e-02 0.000000000000000000e+00
7.000000000000011768e-02 0.000000000000000000e+00
8.999999999999989952e-02 0.000000000000000000e+00
1.099999999999998340e-01 0.000000000000000000e+00
1.300000000000003098e-01 0.000000000000000000e+00
1.499999999999999667e-01 0.000000000000000000e+00
1.700000000000004008e-01 0.000000000000000000e+00
1.900000000000003353e-01 0.000000000000000000e+00
2.100000000000005751e-01 0.000000000000000000e+00
2.300000000000003708e-01 0.000000000000000000e+00
2.500000000000000000e-01 0.000000000000000000e+00
2.699999999999999067e-01 0.000000000000000000e+00
2.899999999999993694e-01 0.000000000000000000e+00
3.099999999999999978e-01 0.000000000000000000e+00
3.299999999999989608e-01 0.000000000000000000e+00
3.500000000000008105e-01 0.000000000000000000e+00
3.699999999999993849e-01 0.000000000000000000e+00
3.900000000000004574e-01 0.000000000000000000e+00
4.099999999999987543e-01 0.000000000000000000e+00
4.299999999999997713e-01 0.000000000000000000e+00
4.500000000000009548e-01 0.000000000000000000e+00
4.699999999999992517e-01 0.000000000000000000e+00
4.900000000000006017e-01 0.000000000000000000e+00
5.099999999999994538e-01 0.000000000000000000e+00
5.300000000000008038e-01 0.000000000000000000e+00
5.499999999999987121e-01 0.000000000000000000e+00
5.699999999999993960e-01 0.000000000000000000e+00
5.900000000000018563e-01 0.000000000000000000e+00
6.099999999999995426e-01 0.000000000000000000e+00
6.300000000000000044e-01 0.000000000000000000e+00
6.500000000000005773e-01 0.000000000000000000e+00
6.700000000000013722e-01 0.000000000000000000e+00
6.899999999999988365e-01 0.000000000000000000e+00
7.099999999999986322e-01 0.000000000000000000e+00
7.300000000000003153e-01 0.000000000000000000e+00
7.500000000000000000e-01 0.000000000000000000e+00
7.699999999999995737e-01 0.000000000000000000e+00
7.900000000000018119e-01 0.000000000000000000e+00
8.100000000000013856e-01 0.000000000000000000e+00
8.299999999999986278e-01 0.000000000000000000e+00
8.499999999999982014e-01 0.000000000000000000e+00
8.700000000000013278e-01 0.000000000000000000e+00
8.900000000000004574e-01 0.000000000000000000e+00
9.099999999999975886e-01 0.000000000000000000e+00
9.300000000000030465e-01 0.000000000000000000e+00
9.500000000000019540e-01 0.000000000000000000e+00
9.699999999999990852e-01 0.000000000000000000e+00
9.899999999999977707e-01 0.000000000000000000e+00
1.010000000000002007e+00 0.000000000000000000e+00
1.030000000000000915e+00 0.000000000000000000e+00
1.049999999999998712e+00 0.000000000000000000e+00
1.069999999999996509e+00 0.000000000000000000e+00
1.090000000000002522e+00 0.000000000000000000e+00
1.110000000000000986e+00 0.000000000000000000e+00
1.129999999999998117e+00 0.000000000000000000e+00
1.150000000000002798e+00 0.000000000000000000e+00
1.169999999999999485e+00 0.000000000000000000e+00
1.189999999999998392e+00 0.000000000000000000e+00
1.209999999999999076e+00 0.000000000000000000e+00
1.229999999999999094e+00 0.000000000000000000e+00
1.250000000000000000e+00 0.000000000000000000e+00
1.270000000000001128e+00 0.000000000000000000e+00
1.290000000000000480e+00 0.000000000000000000e+00
1.310000000000001608e+00 0.000000000000000000e+00
1.330000000000002069e+00 0.000000000000000000e+00
1.349999999999996758e+00 0.000000000000000000e+00
1.370000000000002549e+00 0.000000000000000000e+00
1.389999999999996572e+00 0.000000000000000000e+00
1.409999999999997256e+00 0.000000000000000000e+00
1.430000000000004379e+00 0.000000000000000000e+00
1.449999999999997735e+00 0.000000000000000000e+00
1.469999999999999085e+00 0.000000000000000000e+00
1.490000000000001545e+00 2.614209656206099158e-03
1.509999999999998455e+00 0.000000000000000000e+00
1.530000000000000915e+00 0.000000000000000000e+00
1.550000000000002709e+00 0.000000000000000000e+00
1.569999999999995399e+00 4.709169144316319340e-03
1.590000000000002744e+00 0.000000000000000000e+00
1.610000000000004983e+00 0.000000000000000000e+00
1.629999999999997229e+00 0.000000000000000000e+00
1.650000000000003686e+00 0.000000000000000000e+00
1.669999999999995932e+00 0.000000000000000000e+00
1.689999999999998170e+00 2.032080901241208742e-03
1.710000000000001741e+00 0.000000000000000000e+00
1.729999999999996430e+00 0.000000000000000000e+00
1.750000000000000000e+00 0.000000000000000000e+00
1.770000000000003793e+00 0.000000000000000000e+00
1.789999999999998037e+00 0.000000000000000000e+00
1.810000000000001830e+00 0.000000000000000000e+00
1.830000000000004956e+00 0.000000000000000000e+00
1.849999999999996092e+00 0.000000000000000000e+00
1.870000000000002993e+00 0.000000000000000000e+00
1.889999999999993685e+00 0.000000000000000000e+00
1.909999999999997033e+00 0.000000000000000000e+00
1.930000000000005045e+00 0.000000000000000000e+00
1.949999999999995515e+00 0.000000000000000000e+00
1.969999999999999085e+00 0.000000000000000000e+00
1.990000000000003322e+00 0.000000000000000000e+00
2.009999999999996234e+00 0.000000000000000000e+00
2.030000000000000693e+00 0.000000000000000000e+00
2.050000000000004707e+00 0.000000000000000000e+00
2.069999999999994955e+00 0.000000000000000000e+00
2.090000000000001634e+00 0.000000000000000000e+00
2.110000000000006981e+00 0.000000000000000000e+00
2.129999999999996785e+00 0.000000000000000000e+00
2.150000000000002132e+00 0.000000000000000000e+00
2.169999999999996376e+00 0.000000000000000000e+00
2.189999999999998170e+00 0.000000000000000000e+00
2.210000000000000409e+00 0.000000000000000000e+00
2.229999999999997762e+00 0.000000000000000000e+00
2.250000000000000000e+00 1.146440648568248242e-03
2.270000000000001794e+00 1.126328175162052969e-02
2.290000000000000480e+00 1.593706114238202798e-01
2.310000000000001830e+00 1.971925954840935136e+00
2.330000000000002292e+00 9.811897815575989057e+00
2.350000000000000089e+00 2.027383310497721780e+01
2.370000000000003215e+00 1.771360792523131167e+01
2.389999999999992131e+00 6.567838776550344981e+00
2.410000000000001918e+00 1.134171567652915602e+00
2.430000000000005045e+00 9.534023265500736477e-02
2.449999999999994404e+00 7.735259332368614807e-03
2.470000000000004636e+00 1.902624952924717328e-03
2.490000000000004210e+00 0.000000000000000000e+00
2.509999999999995346e+00 0.000000000000000000e+00
2.529999999999994920e+00 0.000000000000000000e+00
2.550000000000006040e+00 0.000000000000000000e+00
2.569999999999994511e+00 0.000000000000000000e+00
2.589999999999996305e+00 0.000000000000000000e+00
2.610000000000008313e+00 0.000000000000000000e+00
2.629999999999996785e+00 0.000000000000000000e+00
2.649999999999997247e+00 0.000000000000000000e+00
2.669999999999999929e+00 0.000000000000000000e+00
2.689999999999998170e+00 0.000000000000000000e+00
2.709999999999996412e+00 0.000000000000000000e+00
2.730000000000001759e+00 0.000000000000000000e+00
2.750000000000000000e+00 0.000000000000000000e+00
2.769999999999998241e+00 0.000000000000000000e+00
2.790000000000004032e+00 0.000000000000000000e+00
2.810000000000001830e+00 0.000000000000000000e+00
2.829999999999999183e+00 0.000000000000000000e+00
2.850000000000004086e+00 0.000000000000000000e+00
2.870000000000003215e+00 0.000000000000000000e+00
2.889999999999991243e+00 0.000000000000000000e+00
2.910000000000005915e+00 0.000000000000000000e+00
2.930000000000005489e+00 0.000000000000000000e+00
2.949999999999993072e+00 6.669200537083119860e-04
2.970000000000008189e+00 0.000000000000000000e+00
2.990000000000005098e+00 0.000000000000000000e+00
3.009999999999994458e+00 6.405969740767325808e-04
3.029999999999991367e+00 0.000000000000000000e+00
3.050000000000006928e+00 0.000000000000000000e+00
3.069999999999994511e+00 0.000000000000000000e+00
3.089999999999992752e+00 0.000000000000000000e+00
3.110000000000009202e+00 3.000317405707640835e-03
3.129999999999996341e+00 2.369677857587433947e-03
3.149999999999994138e+00 0.000000000000000000e+00
3.170000000000002593e+00 5.775631905938706685e-04
3.189999999999998170e+00 5.703437453058453170e-04
3.209999999999993747e+00 5.632588215148404956e-04
3.230000000000003979e+00 0.000000000000000000e+00
3.250000000000000000e+00 0.000000000000000000e+00
3.269999999999995577e+00 0.000000000000000000e+00
3.290000000000006697e+00 0.000000000000000000e+00
3.310000000000001830e+00 0.000000000000000000e+00
3.329999999999996962e+00 0.000000000000000000e+00
3.350000000000006750e+00 0.000000000000000000e+00
3.370000000000003659e+00 0.000000000000000000e+00
3.389999999999990354e+00 0.000000000000000000e+00
3.410000000000008580e+00 0.000000000000000000e+00
3.430000000000005489e+00 0.000000000000000000e+00
3.449999999999992628e+00 0.000000000000000000e+00
3.470000000000011298e+00 9.640272622385399155e-04
3.490000000000005542e+00 0.000000000000000000e+00
3.509999999999994014e+00 0.000000000000000000e+00
3.529999999999988702e+00 9.315343951868262180e-04
3.550000000000007372e+00 4.605339136627341779e-04
3.569999999999994067e+00 2.276941685871925001e-03
3.589999999999990532e+00 2.701971114647325548e-03
3.610000000000009646e+00 1.781410257128056241e-03
3.629999999999996341e+00 4.404586295798474196e-04
3.649999999999991918e+00 8.712898444837925997e-04
3.670000000000004370e+00 0.000000000000000000e+00
3.689999999999998170e+00 4.262512606171839705e-04
3.709999999999991971e+00 1.265003874383313588e-03
3.730000000000006199e+00 5.840214570584952372e-03
3.750000000000000000e+00 1.692153527960824771e-02
3.769999999999993801e+00 1.751834379839427580e-01
3.790000000000008473e+00 1.422272155172767283e+00
3.810000000000001830e+00 6.345601788581680225e+00
3.829999999999995186e+00 1.524869393039898924e+01
3.850000000000008971e+00 2.031172340685978739e+01
3.870000000000003659e+00 1.439179907547658921e+01
3.889999999999989910e+00 5.604398086614328811e+00
3.910000000000010800e+00 1.238365849440191235e+00
3.930000000000005933e+00 1.687251313352726434e-01
3.949999999999992184e+00 1.711126765168432748e-02
3.970000000000013074e+00 3.682455775502972879e-03
3.990000000000005986e+00 3.645631526158798694e-03
4.009999999999993570e+00 1.443742754553910268e-03
4.029999999999986926e+00 1.786810486486345570e-03
4.050000000000006928e+00 2.830730536615610506e-03
4.069999999999994955e+00 3.153350812313565447e-03
4.089999999999990088e+00 6.939081465234314336e-04
