# r Si-Si
9.999999999999958575e-03 0.000000000000000000e+00
3.000000000000007522e-02 0.000000000000000000e+00
5.000000000000018319e-02 3.866081044594507965e+00
7.000000000000020095e-02 0.000000000000000000e+00
8.999999999999988565e-02 0.000000000000000000e+00
1.099999999999996397e-01 2.421611203756997899e+00
1.299999999999997824e-01 1.735170232613282515e+00
1.499999999999992728e-01 8.692963295537947666e-01
1.700000000000010392e-01 1.692523959615108264e+00
1.899999999999995859e-01 1.897375568011328006e+00
2.100000000000007139e-01 6.657601798848554742e-01
2.299999999999987887e-01 1.480212389869938416e+00
2.500000000000000000e-01 1.252972961147901243e+00
2.700000000000010170e-01 9.400160492341305130e-01
2.900000000000002576e-01 9.312905210433665149e-01
3.100000000000011080e-01 6.112804980357466889e-01
3.299999999999986278e-01 6.293620305153843075e-01
3.499999999999990896e-01 9.591583005087572777e-01
3.700000000000007172e-01 1.287438867820173805e+00
3.900000000000005129e-01 1.094429603333940682e+00
4.099999999999976996e-01 9.902808702648868699e-01
4.300000000000027134e-01 1.165120314809302782e+00
4.500000000000018985e-01 1.257303512856934535e+00
4.699999999999990852e-01 1.108261011576578081e+00
4.899999999999978262e-01 7.749335131030637980e-01
5.100000000000020073e-01 1.129505994576559980e+00
5.300000000000009148e-01 1.045878592984750055e+00
5.499999999999992673e-01 1.197820614521787341e+00
5.699999999999962874e-01 1.265955138935744850e+00
5.900000000000026334e-01 1.069058029183158620e+00
6.100000000000020961e-01 8.685176692800977705e-01
6.299999999999977840e-01 9.376252986890265539e-01
6.500000000000031308e-01 9.735350815987419137e-01
6.699999999999979305e-01 7.199384659818083287e-01
6.899999999999982814e-01 1.151921095337035350e+00
7.100000000000004086e-01 1.049087318633683763e+00
7.299999999999976508e-01 9.556387470751465107e-01
7.500000000000000000e-01 9.575858477367265031e-01
7.700000000000027933e-01 1.139741904534154360e+00
7.899999999999988143e-01 9.415365073355560499e-01
8.100000000000018296e-01 7.911285535270581315e-01
8.300000000000040679e-01 1.009356169761559840e+00
8.499999999999963141e-01 8.404213822720646432e-01
8.700000000000028821e-01 9.963143505798415234e-01
8.899999999999942402e-01 1.125139560024219332e+00
9.099999999999971445e-01 9.697881609206592257e-01
9.300000000000049338e-01 1.053085433297131557e+00
9.499999999999956257e-01 1.020065112371956406e+00
9.699999999999989742e-01 1.030480153731367698e+00
9.900000000000033218e-01 1.029236920727993221e+00
1.009999999999996456e+00 9.888799639617618098e-01
1.030000000000000249e+00 1.033934958262800352e+00
1.050000000000004929e+00 1.083755697347936309e+00
1.069999999999994955e+00 9.067529083280906343e-01
1.090000000000000524e+00 9.974324230190559915e-01
1.110000000000007203e+00 9.697625648057599523e-01
1.129999999999996785e+00 1.012439308744182309e+00
1.150000000000000577e+00 9.775311281220876447e-01
1.169999999999997708e+00 1.037406572305238583e+00
1.189999999999998170e+00 1.148067000720370601e+00
1.209999999999998632e+00 9.967102665738103440e-01
1.229999999999999760e+00 1.022823239259070816e+00
1.250000000000000000e+00 9.590150692581457248e-01
