# r Si-Si
9.999999999999958575e-03 1.292817501312402965e+04
3.000000000000007522e-02 0.000000000000000000e+00
5.000000000000018319e-02 6.185729671351212744e+01
7.000000000000020095e-02 0.000000000000000000e+00
8.999999999999988565e-02 0.000000000000000000e+00
1.099999999999996397e-01 0.000000000000000000e+00
1.299999999999997824e-01 0.000000000000000000e+00
1.499999999999992728e-01 0.000000000000000000e+00
1.700000000000010392e-01 0.000000000000000000e+00
1.899999999999995859e-01 0.000000000000000000e+00
2.100000000000007139e-01 0.000000000000000000e+00
2.299999999999987887e-01 0.000000000000000000e+00
2.500000000000000000e-01 0.000000000000000000e+00
2.700000000000010170e-01 1.074304056267577634e+00
2.900000000000002576e-01 1.862581042086733252e+00
3.100000000000011080e-01 0.000000000000000000e+00
3.299999999999986278e-01 0.000000000000000000e+00
3.499999999999990896e-01 6.394388670058382962e-01
3.700000000000007172e-01 1.144390104729043012e+00
3.900000000000005129e-01 2.575128478432801682e+00
4.099999999999976996e-01 4.660145271834763014e-01
4.300000000000027134e-01 4.236801144761100923e-01
4.500000000000018985e-01 1.547450477362380505e+00
4.699999999999990852e-01 0.000000000000000000e+00
4.899999999999978262e-01 9.788633849722913061e-01
5.100000000000020073e-01 9.036047956612476284e-01
5.300000000000009148e-01 5.578019162585332591e-01
5.499999999999992673e-01 1.035952963910734548e+00
5.699999999999962874e-01 0.000000000000000000e+00
5.900000000000026334e-01 4.501296964981722493e-01
6.100000000000020961e-01 4.210994760145926330e-01
6.299999999999977840e-01 5.921843991720171507e-01
6.500000000000031308e-01 3.708705072757110810e-01
6.699999999999979305e-01 6.981221488308447798e-01
6.899999999999982814e-01 8.228007823835961076e-01
7.100000000000004086e-01 4.662610305038594194e-01
7.299999999999976508e-01 5.880853828154746221e-01
7.500000000000000000e-01 2.785704284325025704e-01
7.700000000000027933e-01 7.928639335889782203e-01
7.899999999999988143e-01 6.276910048903711070e-01
8.100000000000018296e-01 8.359094150474571938e-01
8.300000000000040679e-01 5.686513632459498924e-01
8.499999999999963141e-01 3.253244060407995963e-01
8.700000000000028821e-01 6.210790756861354067e-01
8.899999999999942402e-01 7.913069433137365216e-01
9.099999999999971445e-01 1.040748270256318664e+00
9.300000000000049338e-01 9.058799426211878725e-01
9.499999999999956257e-01 5.208843127005738927e-01
9.699999999999989742e-01 6.661689882707831911e-01
9.900000000000033218e-01 3.997036585351425586e-01
