# r Si-Si
9.999999999999958575e-03 0.000000000000000000e+00
3.000000000000007522e-02 0.000000000000000000e+00
5.000000000000018319e-02 0.000000000000000000e+00
7.000000000000020095e-02 1.985284860737719370e+00
8.999999999999988565e-02 1.204189177824518397e+00
1.099999999999996397e-01 0.000000000000000000e+00
1.299999999999997824e-01 2.313560310151043353e+00
1.499999999999992728e-01 8.692963295537947666e-01
1.700000000000010392e-01 2.369533543461151748e+00
1.899999999999995859e-01 1.355268262865234163e+00
2.100000000000007139e-01 1.109600299808092494e+00
2.299999999999987887e-01 9.251327436687113437e-01
2.500000000000000000e-01 6.264864805739506215e-01
2.700000000000010170e-01 1.208592063301024755e+00
2.900000000000002576e-01 1.280524466434629138e+00
3.100000000000011080e-01 1.324441079077451233e+00
3.299999999999986278e-01 1.078906338026373257e+00
3.499999999999990896e-01 7.992985837572977870e-01
3.700000000000007172e-01 8.582925785467822033e-01
3.900000000000005129e-01 5.794039076473803673e-01
4.099999999999976996e-01 8.155254225710832916e-01
4.300000000000027134e-01 1.376960372047357550e+00
4.500000000000018985e-01 9.671565483514882322e-01
4.699999999999990852e-01 1.019600130650451852e+00
4.899999999999978262e-01 8.157194874769092552e-01
5.100000000000020073e-01 6.777035967459358323e-01
5.300000000000009148e-01 1.045878592984750055e+00
5.499999999999992673e-01 8.417117831774717507e-01
5.699999999999962874e-01 1.296096927958024780e+00
5.900000000000026334e-01 1.237856665369973630e+00
6.100000000000020961e-01 7.369240830255374686e-01
6.299999999999977840e-01 8.389278988270237880e-01
6.500000000000031308e-01 1.135790928531865474e+00
6.699999999999979305e-01 1.156264809001086968e+00
6.899999999999982814e-01 1.028500977979495801e+00
7.100000000000004086e-01 1.029659775696022850e+00
7.299999999999976508e-01 1.047527088140064455e+00
7.500000000000000000e-01 9.227645441826639594e-01
7.700000000000027933e-01 9.084899239040369334e-01
7.899999999999988143e-01 9.572287824578155080e-01
8.100000000000018296e-01 7.762015996869247036e-01
8.300000000000040679e-01 1.208384146897643285e+00
8.499999999999963141e-01 1.070859503217631348e+00
8.700000000000028821e-01 9.704360557595858028e-01
8.899999999999942402e-01 9.891336791421696528e-01
9.099999999999971445e-01 1.111708379591974438e+00
9.300000000000049338e-01 9.511739397522478434e-01
9.499999999999956257e-01 1.106879164488718370e+00
9.699999999999989742e-01 1.051297934614829677e+00
9.900000000000033218e-01 1.009251737801235782e+00
1.009999999999996456e+00 1.171294714595484399e+00
1.030000000000000249e+00 9.877771476260681638e-01
1.050000000000004929e+00 1.154821644715013917e+00
1.069999999999994955e+00 9.409699992083956355e-01
1.090000000000000524e+00 9.727026935227159887e-01
1.110000000000007203e+00 1.049251299625903133e+00
1.129999999999996785e+00 9.664193401649012749e-01
1.150000000000000577e+00 9.775311281220876447e-01
1.169999999999997708e+00 1.166188077832785330e+00
1.189999999999998170e+00 9.682492777159743547e-01
1.209999999999998632e+00 1.063603573055274421e+00
1.229999999999999760e+00 1.022823239259071038e+00
1.250000000000000000e+00 1.009159648042885271e+00
