# r Si-Si
9.999999999999958575e-03 0.000000000000000000e+00
3.000000000000007522e-02 0.000000000000000000e+00
5.000000000000018319e-02 0.000000000000000000e+00
7.000000000000020095e-02 0.000000000000000000e+00
8.999999999999988565e-02 0.000000000000000000e+00
1.099999999999996397e-01 0.000000000000000000e+00
1.299999999999997824e-01 0.000000000000000000e+00
1.499999999999992728e-01 0.000000000000000000e+00
1.700000000000010392e-01 0.000000000000000000e+00
1.899999999999995859e-01 0.000000000000000000e+00
2.100000000000007139e-01 0.000000000000000000e+00
2.299999999999987887e-01 0.000000000000000000e+00
2.500000000000000000e-01 0.000000000000000000e+00
2.700000000000010170e-01 0.000000000000000000e+00
2.900000000000002576e-01 0.000000000000000000e+00
3.100000000000011080e-01 0.000000000000000000e+00
3.299999999999986278e-01 0.000000000000000000e+00
3.499999999999990896e-01 0.000000000000000000e+00
3.700000000000007172e-01 0.000000000000000000e+00
3.900000000000005129e-01 6.437821196082003927e-02
4.099999999999976996e-01 0.000000000000000000e+00
4.300000000000027134e-01 0.000000000000000000e+00
4.500000000000018985e-01 0.000000000000000000e+00
4.699999999999990852e-01 4.433044046306314212e-02
4.899999999999978262e-01 0.000000000000000000e+00
5.100000000000020073e-01 3.765019981921865350e-02
5.300000000000009148e-01 0.000000000000000000e+00
5.499999999999992673e-01 0.000000000000000000e+00
5.699999999999962874e-01 0.000000000000000000e+00
5.900000000000026334e-01 2.813310603113576558e-02
6.100000000000020961e-01 2.631871725091203956e-02
6.299999999999977840e-01 2.467434996550071577e-02
6.500000000000031308e-01 4.635881340946388512e-02
6.699999999999979305e-01 2.181631715096389937e-02
6.899999999999982814e-01 0.000000000000000000e+00
7.100000000000004086e-01 1.942754293766080914e-02
7.299999999999976508e-01 3.675533642596716388e-02
7.500000000000000000e-01 0.000000000000000000e+00
7.700000000000027933e-01 1.651799861643704626e-02
7.899999999999988143e-01 3.138455024451855535e-02
8.100000000000018296e-01 2.985390768026632835e-02
8.300000000000040679e-01 2.843256816229749323e-02
8.499999999999963141e-01 5.422073434013326837e-02
8.700000000000028821e-01 3.881744223038346292e-02
8.899999999999942402e-01 2.472834197855426630e-02
9.099999999999971445e-01 3.548005466782903905e-02
9.300000000000049338e-01 6.794099569658908211e-02
9.499999999999956257e-01 2.170351302919058117e-02
9.699999999999989742e-01 2.081778088346197125e-02
9.900000000000033218e-01 0.000000000000000000e+00
1.009999999999996456e+00 3.840310539657323941e-02
1.030000000000000249e+00 8.308405914611780019e-02
1.050000000000004929e+00 4.441621710442354015e-02
1.069999999999994955e+00 7.698845448068683539e-02
1.090000000000000524e+00 3.297297266178694092e-02
1.110000000000007203e+00 3.974436741007207619e-02
1.129999999999996785e+00 3.067997905285397425e-02
1.150000000000000577e+00 4.443323309645853120e-02
1.169999999999997708e+00 4.292716850918223276e-02
1.189999999999998170e+00 2.074819880819946810e-02
1.209999999999998632e+00 4.682531453702473700e-02
1.229999999999999760e+00 3.884138883262298197e-02
1.250000000000000000e+00 1.002891575694792176e-01
