# r Si-Si Si-Ge Ge-Ge
9.999999999999875308e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.999999999999973868e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000043993e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000024258e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000092648e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.099999999999995426e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000009759e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000013722e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.899999999999986700e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.099999999999979661e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.300000000000010369e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.699999999999994071e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.900000000000014233e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.100000000000016631e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.300000000000017364e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.499999999999967581e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.700000000000026046e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.899999999999955724e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.099999999999971445e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.300000000000047118e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.499999999999961808e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.699999999999989742e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.900000000000032663e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.099999999999965672e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.299999999999998046e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.500000000000051514e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.699999999999947331e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.899999999999989697e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.100000000000077582e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.299999999999966738e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
