# r Si-Si
4.999999999996177641e-03 0.000000000000000000e+00
1.500000000002365240e-02 0.000000000000000000e+00
2.500000000004712689e-02 0.000000000000000000e+00
3.499999999996052102e-02 0.000000000000000000e+00
4.500000000005213718e-02 0.000000000000000000e+00
5.500000000002110839e-02 0.000000000000000000e+00
6.499999999988188837e-02 0.000000000000000000e+00
7.499999999987652655e-02 0.000000000000000000e+00
8.500000000000060285e-02 0.000000000000000000e+00
9.499999999998157141e-02 0.000000000000000000e+00
1.049999999997402733e-01 0.000000000000000000e+00
1.149999999998220779e-01 0.000000000000000000e+00
1.250000000000000000e-01 0.000000000000000000e+00
1.350000000001838896e-01 0.000000000000000000e+00
1.450000000003085210e-01 0.000000000000000000e+00
1.550000000002647871e-01 0.000000000000000000e+00
1.650000000004230027e-01 0.000000000000000000e+00
1.749999999996730837e-01 0.000000000000000000e+00
1.850000000000024958e-01 0.000000000000000000e+00
1.949999999997850952e-01 0.000000000000000000e+00
2.050000000002971390e-01 0.000000000000000000e+00
2.150000000001282274e-01 0.000000000000000000e+00
2.249999999997913114e-01 0.000000000000000000e+00
2.350000000003293621e-01 0.000000000000000000e+00
2.449999999998983269e-01 0.000000000000000000e+00
2.550000000001376166e-01 0.000000000000000000e+00
2.649999999996420219e-01 0.000000000000000000e+00
2.750000000004353407e-01 0.000000000000000000e+00
2.849999999998675260e-01 0.000000000000000000e+00
2.949999999992607980e-01 0.000000000000000000e+00
3.050000000002423550e-01 0.000000000000000000e+00
3.149999999994580469e-01 0.000000000000000000e+00
3.250000000005118239e-01 0.000000000000000000e+00
3.349999999993485411e-01 0.000000000000000000e+00
3.450000000004756484e-01 0.000000000000000000e+00
3.549999999998960654e-01 0.000000000000000000e+00
3.650000000004247624e-01 0.000000000000000000e+00
3.750000000000000000e-01 0.000000000000000000e+00
3.849999999997031352e-01 0.000000000000000000e+00
3.949999999997692024e-01 0.000000000000000000e+00
4.049999999994223776e-01 0.000000000000000000e+00
4.150000000006941470e-01 0.000000000000000000e+00
4.250000000002707168e-01 0.000000000000000000e+00
4.349999999998559463e-01 0.000000000000000000e+00
4.449999999997423794e-01 0.000000000000000000e+00
4.550000000010933632e-01 0.000000000000000000e+00
4.649999999990628852e-01 0.000000000000000000e+00
4.749999999991352806e-01 0.000000000000000000e+00
4.850000000004596190e-01 0.000000000000000000e+00
4.950000000006651302e-01 0.000000000000000000e+00
5.049999999992961230e-01 0.000000000000000000e+00
5.149999999995332756e-01 0.000000000000000000e+00
5.250000000009209522e-01 0.000000000000000000e+00
5.350000000012714585e-01 0.000000000000000000e+00
5.449999999987987787e-01 0.000000000000000000e+00
5.550000000002642819e-01 0.000000000000000000e+00
5.650000000006466516e-01 0.000000000000000000e+00
5.749999999990407229e-01 0.000000000000000000e+00
5.849999999992537836e-01 0.000000000000000000e+00
5.950000000007649170e-01 0.000000000000000000e+00
6.050000000012619727e-01 0.000000000000000000e+00
6.149999999994238964e-01 0.000000000000000000e+00
6.250000000000000000e-01 0.000000000000000000e+00
6.350000000006220668e-01 0.000000000000000000e+00
6.449999999986177901e-01 0.000000000000000000e+00
6.549999999991985566e-01 0.000000000000000000e+00
6.650000000006552892e-01 0.000000000000000000e+00
6.750000000012482682e-01 0.000000000000000000e+00
6.849999999990588062e-01 0.000000000000000000e+00
6.950000000001460565e-01 0.000000000000000000e+00
7.050000000013249002e-01 0.000000000000000000e+00
7.149999999981695442e-01 0.000000000000000000e+00
7.249999999996312727e-01 0.000000000000000000e+00
7.350000000005011414e-01 0.000000000000000000e+00
