# r Si-Si Si-Ge Ge-Ge
9.999999999999958575e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000007522e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000018319e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000020095e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.999999999999988565e-02 0.000000000000000000e+00 2.606111357970378517e+00 0.000000000000000000e+00
1.099999999999996397e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.299999999999997824e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.499999999999992728e-01 0.000000000000000000e+00 9.213007311947846167e-01 0.000000000000000000e+00
1.700000000000010392e-01 0.000000000000000000e+00 7.154065707319532397e-01 0.000000000000000000e+00
1.899999999999995859e-01 0.000000000000000000e+00 5.773683312793594924e-01 0.000000000000000000e+00
2.100000000000007139e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.299999999999987887e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.097489193943306018e+00
2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.700000000000010170e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.900000000000002576e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.100000000000011080e-01 0.000000000000000000e+00 2.153165407057331393e-01 1.034516577347674104e+00
3.299999999999986278e-01 0.000000000000000000e+00 1.905750594515525087e-01 0.000000000000000000e+00
3.499999999999990896e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.700000000000007172e-01 0.000000000000000000e+00 1.523532792372988554e-01 0.000000000000000000e+00
3.900000000000005129e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.099999999999976996e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.212825503798339977e-01
4.300000000000027134e-01 1.672778271820266061e-01 1.128095297597016683e-01 0.000000000000000000e+00
4.500000000000018985e-01 0.000000000000000000e+00 1.025015296720989399e-01 0.000000000000000000e+00
4.699999999999990852e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.899999999999978262e-01 0.000000000000000000e+00 8.748106213223530436e-02 0.000000000000000000e+00
5.100000000000020073e-01 0.000000000000000000e+00 8.075519882119711057e-02 0.000000000000000000e+00
5.300000000000009148e-01 0.000000000000000000e+00 7.477617128626273812e-02 2.067884242978130227e-01
5.499999999999992673e-01 0.000000000000000000e+00 1.380578300890585308e-01 1.785532375623495593e-01
5.699999999999962874e-01 0.000000000000000000e+00 1.294376736203934342e-01 1.448172343440082277e-01
5.900000000000026334e-01 0.000000000000000000e+00 1.214896785193839424e-01 1.446489948938763093e-01
6.100000000000020961e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.451584722425550145e-01
6.299999999999977840e-01 0.000000000000000000e+00 5.399487162828545128e-02 1.185487403749911767e-01
6.500000000000031308e-01 0.000000000000000000e+00 1.989469129334759945e-01 0.000000000000000000e+00
6.699999999999979305e-01 0.000000000000000000e+00 1.388208693785142611e-01 1.294039827726436442e-01
6.899999999999982814e-01 0.000000000000000000e+00 3.087899121799083102e-01 9.882934754868336058e-02
7.100000000000004086e-01 5.817607502571783135e-02 1.649629939860938754e-01 9.988852834380090862e-02
7.299999999999976508e-01 0.000000000000000000e+00 1.574543990033077656e-01 0.000000000000000000e+00
7.500000000000000000e-01 0.000000000000000000e+00 2.238641805553559516e-01 8.951849387720103857e-02
7.700000000000027933e-01 0.000000000000000000e+00 1.060530260563163629e-01 8.492883419561755853e-02
7.899999999999988143e-01 0.000000000000000000e+00 1.346854875210823921e-01 0.000000000000000000e+00
8.100000000000018296e-01 0.000000000000000000e+00 9.495189239681234294e-02 0.000000000000000000e+00
8.300000000000040679e-01 0.000000000000000000e+00 6.153388536334158943e-02 9.093543118044120077e-02
8.499999999999963141e-01 4.281497440514316077e-02 2.326294883562682880e-01 0.000000000000000000e+00
8.700000000000028821e-01 1.320158500446486638e-01 8.356744820311651223e-02 0.000000000000000000e+00
8.899999999999942402e-01 4.624884607619577509e-02 1.059377532339227934e-01 0.000000000000000000e+00
9.099999999999971445e-01 0.000000000000000000e+00 2.515263529783080543e-01 0.000000000000000000e+00
9.300000000000049338e-01 3.997038221959945542e-02 1.951006479686578365e-01 1.327460805048697456e-01
