# r Si-Si
9.999999999999958575e-03 0.000000000000000000e+00
3.000000000000007522e-02 0.000000000000000000e+00
5.000000000000018319e-02 0.000000000000000000e+00
7.000000000000020095e-02 5.882324998038913622e-01
8.999999999999988565e-02 0.000000000000000000e+00
1.099999999999996397e-01 4.783429119284390851e-01
1.299999999999997824e-01 5.141244683325351117e-01
1.499999999999992728e-01 3.863538904037394084e-01
1.700000000000010392e-01 5.014885366991705951e-01
1.899999999999995859e-01 8.031218632008856051e-02
2.100000000000007139e-01 0.000000000000000000e+00
2.299999999999987887e-01 3.837587341289873666e-01
2.500000000000000000e-01 1.856256076140213873e-01
2.700000000000010170e-01 2.785232494501057587e-01
2.900000000000002576e-01 1.724611924940091801e-01
3.100000000000011080e-01 1.509334430842161345e-01
3.299999999999986278e-01 1.598379620030156434e-01
3.499999999999990896e-01 2.841950271087355095e-01
3.700000000000007172e-01 2.331164823955045873e-01
3.900000000000005129e-01 1.716752168577528048e-01
4.099999999999976996e-01 1.553381621210906949e-01
4.300000000000027134e-01 2.039941113234834680e-01
4.500000000000018985e-01 8.596946343414330061e-02
4.699999999999990852e-01 1.182144975465877074e-01
4.899999999999978262e-01 1.208473208925263664e-01
5.100000000000020073e-01 1.561785929771479786e-01
5.300000000000009148e-01 1.446152989551094947e-01
5.499999999999992673e-01 2.014352808936196171e-01
5.699999999999962874e-01 1.428943947000012316e-01
5.900000000000026334e-01 1.000288126820863127e-01
6.100000000000020961e-01 7.018323985478164273e-02
6.299999999999977840e-01 5.848734294321527444e-02
6.500000000000031308e-01 6.867971755362559105e-02
6.699999999999979305e-01 8.403321425769857966e-02
6.899999999999982814e-01 7.313784091652968111e-02
7.100000000000004086e-01 4.029415960042519174e-02
7.299999999999976508e-01 3.811664184368460800e-02
7.500000000000000000e-01 6.706324541494937397e-02
7.700000000000027933e-01 3.425954968500286024e-02
7.899999999999988143e-01 2.324781295956419164e-02
8.100000000000018296e-01 6.634201125607769312e-02
8.300000000000040679e-01 2.948562365961055615e-02
8.499999999999963141e-01 8.032700680104802593e-03
8.700000000000028821e-01 2.300292671419127896e-02
8.899999999999942402e-01 7.326915499997956917e-03
9.099999999999971445e-01 2.452941836245490365e-02
9.300000000000049338e-01 2.013066362825093394e-02
9.499999999999956257e-01 1.929200989163299199e-02
9.699999999999989742e-01 9.252346248863807868e-03
9.900000000000033218e-01 1.480383790827373078e-02
1.009999999999996456e+00 5.689348449286088689e-03
1.030000000000000249e+00 1.094110971106896334e-02
1.050000000000004929e+00 1.052828757660853425e-02
1.069999999999994955e+00 2.281139192205601518e-02
1.090000000000000524e+00 1.221221102723827300e-02
1.110000000000007203e+00 1.177610783072387257e-02
1.129999999999996785e+00 6.817772525658551130e-03
1.150000000000000577e+00 1.316540124573680956e-02
1.169999999999997708e+00 8.479439950421347599e-03
1.189999999999998170e+00 4.098409282128603372e-03
1.209999999999998632e+00 1.189214233279880725e-02
1.229999999999999760e+00 1.918093107671097267e-02
1.250000000000000000e+00 9.286032294881783541e-03
