# r Ge-Ge Ge-Si Si-Si
9.999999999999958575e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.698940795074111918e+02
3.000000000000007522e-02 1.265635410948133632e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000018319e-02 2.378595821544526601e+01 0.000000000000000000e+00 1.435962072773877907e+01
7.000000000000020095e-02 1.709650312430515484e+01 0.000000000000000000e+00 2.530595598041299077e+00
8.999999999999988565e-02 2.349082979569875462e+01 0.000000000000000000e+00 9.852440881357662050e+00
1.099999999999996397e-01 9.147195881855488153e+00 0.000000000000000000e+00 3.912691163188788845e+00
1.299999999999997824e-01 1.472408712831136945e+01 0.000000000000000000e+00 5.527084952248532801e+00
1.499999999999992728e-01 1.188511559619995950e+01 0.000000000000000000e+00 4.685847533168421286e+00
1.700000000000010392e-01 9.019214184193364403e+00 0.000000000000000000e+00 4.174504009302284935e+00
1.899999999999995859e-01 1.036191210645845473e+01 0.000000000000000000e+00 6.538523663083013027e+00
2.100000000000007139e-01 6.041034411502702817e+00 2.776739517367765031e-01 3.240677357470890918e+00
2.299999999999987887e-01 3.856042275813131415e+00 0.000000000000000000e+00 3.846987708916395743e+00
2.500000000000000000e-01 3.481672628619346899e+00 9.798935831307596656e-02 4.660989554137334956e+00
2.700000000000010170e-01 3.475631115225860768e+00 0.000000000000000000e+00 2.647271051471515424e+00
2.900000000000002576e-01 3.069612261672310272e+00 7.282578284633958732e-02 2.570914703229935760e+00
3.100000000000011080e-01 2.630197232861646306e+00 6.373518581975076702e-02 2.227144558837495847e+00
3.299999999999986278e-01 1.527877292343272853e+00 0.000000000000000000e+00 3.313452944805586498e+00
3.499999999999990896e-01 1.540723529419909754e+00 0.000000000000000000e+00 1.493646159483919655e+00
3.700000000000007172e-01 1.139186398813384571e+00 4.474495518601774580e-02 1.655022748764633400e+00
3.900000000000005129e-01 1.162167922704050005e+00 4.027438122352353794e-02 1.192656847489294902e+00
4.099999999999976996e-01 6.749831371670553803e-01 0.000000000000000000e+00 7.475793127475547362e-01
4.300000000000027134e-01 6.275203095330762482e-01 6.626537709075189242e-02 6.472245057031348336e-01
4.500000000000018985e-01 4.111726710139277929e-01 9.076952689074750669e-02 7.706402621756571758e-01
4.699999999999990852e-01 2.130910223648662116e-01 8.320996460292437447e-02 8.156932895664189553e-01
4.899999999999978262e-01 1.344140765458097797e-01 2.555035609302328675e-02 6.000757582771586440e-01
5.100000000000020073e-01 1.851040626469916406e-01 2.355359762995402895e-02 2.313032767749726715e-01
5.300000000000009148e-01 8.224897687811358327e-02 0.000000000000000000e+00 3.443083860769955984e-01
5.499999999999992673e-01 7.427857107428129102e-02 1.012854023761088212e-01 1.207964221388432846e-01
5.699999999999962874e-01 7.406672823900273261e-02 0.000000000000000000e+00 2.506873078721660320e-01
5.900000000000026334e-01 1.868756588354790749e-01 7.043241774928091226e-02 1.691931984319118565e-01
6.100000000000020961e-01 2.854409070392589787e-02 6.587163907890294934e-02 3.292946540740972206e-02
6.299999999999977840e-01 3.204803915198284336e-02 3.087868403460038852e-02 6.009792083654132144e-02
6.500000000000031308e-01 0.000000000000000000e+00 2.900286463391378577e-02 6.088727604704038260e-02
6.699999999999979305e-01 2.679760093636877546e-02 4.094656580745623803e-02 2.493400397251135242e-02
6.899999999999982814e-01 2.480943118632574634e-02 5.148685772684358924e-02 5.053347653472627793e-02
7.100000000000004086e-01 0.000000000000000000e+00 2.431257402036636484e-02 2.892777035481801373e-02
7.299999999999976508e-01 0.000000000000000000e+00 3.449559953641361670e-02 0.000000000000000000e+00
7.500000000000000000e-01 4.075434760424707925e-02 5.446994785995119825e-02 2.178386772981287869e-02
7.700000000000027933e-01 0.000000000000000000e+00 2.067054245518618744e-02 7.971849887593851491e-02
7.899999999999988143e-01 1.701913205611137875e-02 3.927615568083973885e-02 3.718289250070314078e-02
8.100000000000018296e-01 0.000000000000000000e+00 2.802488442788074463e-02 0.000000000000000000e+00
8.300000000000040679e-01 0.000000000000000000e+00 4.447775846552952383e-02 7.313371131518642265e-02
8.499999999999963141e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.572142555110531414e-02
8.700000000000028821e-01 1.618920872856802196e-02 1.618990276992653132e-02 6.754676440806814397e-02
8.899999999999942402e-01 1.668267912756171353e-02 3.093961890324203184e-02 4.613483956119091012e-02
9.099999999999971445e-01 0.000000000000000000e+00 6.659427300309306297e-02 0.000000000000000000e+00
9.300000000000049338e-01 0.000000000000000000e+00 3.542178282277947537e-02 0.000000000000000000e+00
9.499999999999956257e-01 0.000000000000000000e+00 2.716025183471978272e-02 4.075322101069952380e-02
9.699999999999989742e-01 0.000000000000000000e+00 1.954292140320162269e-02 1.302340058836341276e-02
9.900000000000033218e-01 1.205203084837023000e-02 5.003432051921834212e-02 1.183585530925085512e-02
1.009999999999996456e+00 0.000000000000000000e+00 1.801948595918248172e-02 3.641831005526301179e-02
1.030000000000000249e+00 0.000000000000000000e+00 3.466195100390938311e-02 4.515232447211640215e-02
1.050000000000004929e+00 1.091153976934985080e-02 6.672353555042244422e-02 3.355805981470674770e-02
1.069999999999994955e+00 0.000000000000000000e+00 2.676745216250287288e-02 3.136347973794138821e-02
1.090000000000000524e+00 0.000000000000000000e+00 3.609957390311525904e-02 2.044961462169206379e-02
1.110000000000007203e+00 0.000000000000000000e+00 7.463002229384642361e-02 9.945475376266655482e-03
1.129999999999996785e+00 8.318529513903863762e-03 5.283889694760356831e-02 8.923320562746367077e-03
1.150000000000000577e+00 0.000000000000000000e+00 4.170026310795395957e-02 2.745853237802070579e-02
1.169999999999997708e+00 0.000000000000000000e+00 5.818889270464774194e-02 3.547943124668055670e-02
1.189999999999998170e+00 8.815745892809331505e-03 6.491048652522768414e-02 8.191824910865518755e-03
1.209999999999998632e+00 0.000000000000000000e+00 4.604984220774702847e-02 1.547164006077870330e-02
1.229999999999999760e+00 8.099597951183616293e-03 6.886989245178631869e-02 2.400292435512363376e-02
1.250000000000000000e+00 2.367474298418709849e-02 4.715432267190005494e-02 6.478949916184865987e-02
1.269999999999999574e+00 0.000000000000000000e+00 7.220927543688482331e-02 4.559241091714674732e-02
1.290000000000002700e+00 0.000000000000000000e+00 1.067996438793978042e-01 7.363683835596550493e-03
1.310000000000001830e+00 7.274651319052748664e-03 1.321595738753794380e-01 0.000000000000000000e+00
1.330000000000000293e+00 0.000000000000000000e+00 1.732347274550537775e-01 2.746020985797761188e-02
1.350000000000002975e+00 1.308230310330841389e-02 1.311448899266803025e-01 3.254620780276953201e-02
1.370000000000003437e+00 6.651419842830719707e-03 1.959256329232077487e-01 1.923194850260736069e-02
1.389999999999991465e+00 0.000000000000000000e+00 2.347031184745221044e-01 6.583880515868658842e-03
1.410000000000005249e+00 0.000000000000000000e+00 2.342720691406832978e-01 6.051071179180057824e-03
1.430000000000005489e+00 0.000000000000000000e+00 2.457564268745177916e-01 4.151240704462242498e-02
1.449999999999993294e+00 6.285230306097060182e-03 3.468561453604616096e-01 5.828279405928139638e-03
1.470000000000007967e+00 1.069282373555779236e-02 3.346960204547592688e-01 1.764801137943047132e-02
1.490000000000005320e+00 0.000000000000000000e+00 4.278859542876529143e-01 1.093830162181452618e-02
1.509999999999994680e+00 5.795672574518714697e-03 5.052840280020745034e-01 1.582846424526414275e-02
1.529999999999991145e+00 0.000000000000000000e+00 5.524154964738032803e-01 3.194240636755552726e-02
1.550000000000006928e+00 1.104975066648468396e-02 6.428453813683090434e-01 1.521100404201319693e-02
1.569999999999994289e+00 0.000000000000000000e+00 6.539215219021579095e-01 1.019609888665372853e-02
1.589999999999992530e+00 4.847114495653218579e-03 7.806163167635176148e-01 2.895721786073555265e-02
1.610000000000009202e+00 4.727438812410909852e-03 8.890569937682947232e-01 9.548610406265440470e-03
1.629999999999996341e+00 4.698752302279719101e-03 8.742554317624101623e-01 2.708775342716316162e-02
1.649999999999993472e+00 1.459490398247767842e-02 1.019767136052016188e+00 1.769059887662389335e-02
1.670000000000003038e+00 4.393848924419389672e-03 1.078963754177698631e+00 3.476681924974415333e-02
1.689999999999997948e+00 0.000000000000000000e+00 1.212424343702978913e+00 1.320064972512828561e-02
1.709999999999993081e+00 4.190695269348436273e-03 1.301511340264955185e+00 4.137324528468652035e-02
1.730000000000005089e+00 1.975905759862386923e-02 1.525532248454567252e+00 2.757652248013323440e-02
1.750000000000000000e+00 4.076452484980955943e-03 1.596983974383875404e+00 3.176427369929910038e-02
1.769999999999994689e+00 3.984850709772638083e-03 1.582571004351384092e+00 1.920173570143889757e-02
1.790000000000007585e+00 7.866466217926046042e-03 1.650694213228382612e+00 3.825889979731305485e-02
1.810000000000002052e+00 1.503389095111678890e-02 1.765979552180385159e+00 1.844559994475044457e-02
1.829999999999995852e+00 7.455670432577767189e-03 1.874001012503330177e+00 3.646696051741581124e-02
1.850000000000008304e+00 1.087577280794484701e-02 1.923247794646578468e+00 1.412554852196585761e-02
1.870000000000003659e+00 3.504256603960815251e-03 1.964725131651172241e+00 4.126271910312440810e-02
1.889999999999990132e+00 1.042029831686524383e-02 1.959438436084825375e+00 3.942005012939062830e-02
1.910000000000010356e+00 1.667931267056794314e-02 1.849718956572120154e+00 2.665077897616718178e-02
1.930000000000005933e+00 1.340792586042125097e-02 2.000724236126599997e+00 3.643608491991254944e-02
1.949999999999992184e+00 6.505774223486414029e-03 2.085796953287363031e+00 1.582044194315061422e-02
1.970000000000013074e+00 6.321554654269475465e-03 2.166770713824593741e+00 3.416397887475541156e-02
1.990000000000006208e+00 1.550676687527522551e-02 2.064644364427761225e+00 3.721772667072410778e-02
2.009999999999993570e+00 8.903981577790312171e-03 2.082926249141429320e+00 5.022762879240079414e-02
2.029999999999986926e+00 6.003111757194443641e-03 2.120964440131379192e+00 2.649875274218445320e-02
2.050000000000006484e+00 1.166958873143128864e-02 2.034476016793276720e+00 4.329650492264239259e-02
2.069999999999995843e+00 8.742109955349316661e-03 2.074153016357727530e+00 3.966377922453988292e-02
2.089999999999990976e+00 2.223870775626759708e-02 2.173460876066128478e+00 4.395397283045311687e-02
2.110000000000010090e+00 8.373885580404746148e-03 2.062436833891997168e+00 4.144970505608531336e-02
2.129999999999996341e+00 1.106189657887849710e-02 1.984614783502381519e+00 5.641892005267648558e-02
2.149999999999989697e+00 1.296221135810111252e-02 1.979727353187853200e+00 2.570470831748796620e-02
2.170000000000001705e+00 7.665660703661229466e-03 1.892634419982359706e+00 3.288516930848336961e-02
2.190000000000003055e+00 1.036396678809771432e-02 1.965606241038763580e+00 1.440993390610136558e-02
2.209999999999995524e+00 2.283836028283540986e-02 1.852421534337778564e+00 4.269778752587401194e-02
2.230000000000007976e+00 4.974613912100415286e-03 1.768784793702305125e+00 2.412373330859017909e-02
2.250000000000000000e+00 2.407135817794744601e-02 1.759292259321738605e+00 2.661814009631775432e-02
2.269999999999992024e+00 2.153283323008318637e-02 1.774869424407545360e+00 1.167687115082085073e-02
2.290000000000003144e+00 1.419838763933974936e-02 1.849137002232663196e+00 3.987443887711736301e-02
2.309999999999994280e+00 1.593863714989815494e-02 1.771303487656788356e+00 3.451616508527201310e-02
2.330000000000001403e+00 6.771579778869792239e-03 1.695936276150830091e+00 3.814080863598452720e-02
2.350000000000011191e+00 1.554156926641708444e-02 1.740484842577775693e+00 3.282460188148376978e-02
2.370000000000003659e+00 4.445226915162628877e-03 1.693841704449098762e+00 5.603017128907911149e-02
2.389999999999989466e+00 1.332296186603404604e-02 1.710546815674631738e+00 3.379978350015997585e-02
2.410000000000003695e+00 1.278337166771794514e-02 2.761969783595845218e+00 5.227995455726799912e-02
2.429999999999995719e+00 1.061334733828252740e-02 1.558147943858274376e+00 4.961542037391971499e-02
2.450000000000001954e+00 1.425630265511049558e-02 1.509332630403166231e+00 5.077473885211974958e-02
2.470000000000015739e+00 4.054858821155440246e-03 1.540311304384153868e+00 4.742499752834057614e-02
2.490000000000006430e+00 1.786514653630670926e-02 1.549296612427548236e+00 5.284114935330153778e-02
2.509999999999993125e+00 1.971885661095445705e-02 1.512985731411065959e+00 6.094190025612845896e-02
2.529999999999983817e+00 2.128249044354577069e-02 1.468062708571997055e+00 4.683043794165479834e-02
2.549999999999996270e+00 1.120669705174410363e-02 1.454613932037046364e+00 4.825352291476461830e-02
2.570000000000006501e+00 1.891367537629538159e-02 1.426495329558941538e+00 4.765405129886305519e-02
2.589999999999998526e+00 1.296763456798637193e-02 1.365186195180267736e+00 4.347211721656098898e-02
2.610000000000010978e+00 2.553807349609137772e-02 1.416375896628249142e+00 4.304950036130797408e-02
2.629999999999996341e+00 1.251413954189797839e-02 1.434686193530170017e+00 5.139274079973019105e-02
2.649999999999987477e+00 1.412817579912325865e-02 1.381759970192826259e+00 5.025007609508049672e-02
