# r Si-Si
9.999999999999958575e-03 4.113510231448555714e+03
3.000000000000007522e-02 0.000000000000000000e+00
5.000000000000018319e-02 6.185729671351212744e+01
7.000000000000020095e-02 1.588227888590175496e+01
8.999999999999988565e-02 0.000000000000000000e+00
1.099999999999996397e-01 0.000000000000000000e+00
1.299999999999997824e-01 0.000000000000000000e+00
1.499999999999992728e-01 3.477185318215179066e+00
1.700000000000010392e-01 0.000000000000000000e+00
1.899999999999995859e-01 0.000000000000000000e+00
2.100000000000007139e-01 0.000000000000000000e+00
2.299999999999987887e-01 0.000000000000000000e+00
2.500000000000000000e-01 1.252972961147901243e+00
2.700000000000010170e-01 0.000000000000000000e+00
2.900000000000002576e-01 9.312905210433666259e-01
3.100000000000011080e-01 0.000000000000000000e+00
3.299999999999986278e-01 7.192708920175819864e-01
3.499999999999990896e-01 0.000000000000000000e+00
3.700000000000007172e-01 1.144390104729043012e+00
3.900000000000005129e-01 0.000000000000000000e+00
4.099999999999976996e-01 9.320290543669526029e-01
4.300000000000027134e-01 0.000000000000000000e+00
4.500000000000018985e-01 0.000000000000000000e+00
4.699999999999990852e-01 1.063930571113515411e+00
4.899999999999978262e-01 9.788633849722913061e-01
5.100000000000020073e-01 3.012015985537492280e-01
5.300000000000009148e-01 5.578019162585332591e-01
5.499999999999992673e-01 1.035952963910734548e+00
5.699999999999962874e-01 7.234029365347114382e-01
5.900000000000026334e-01 1.125324241245430734e+00
6.100000000000020961e-01 0.000000000000000000e+00
6.299999999999977840e-01 1.579158397792045809e+00
6.500000000000031308e-01 5.563057609135666493e-01
6.699999999999979305e-01 6.981221488308447798e-01
6.899999999999982814e-01 9.873609388603152848e-01
7.100000000000004086e-01 6.216813740051458925e-01
7.299999999999976508e-01 1.029149419927080755e+00
7.500000000000000000e-01 5.571408568650051407e-01
7.700000000000027933e-01 0.000000000000000000e+00
7.899999999999988143e-01 1.255382009780742214e-01
8.100000000000018296e-01 4.776625228842612536e-01
8.300000000000040679e-01 2.274605452983799458e-01
8.499999999999963141e-01 6.506488120815991927e-01
8.700000000000028821e-01 3.105395378430677034e-01
8.899999999999942402e-01 6.923935753995194009e-01
9.099999999999971445e-01 3.784539164568430647e-01
9.300000000000049338e-01 4.529399713105938807e-01
9.499999999999956257e-01 2.604421563502870018e-01
9.699999999999989742e-01 3.330844941353915400e-01
9.900000000000033218e-01 5.595851219491996265e-01
1.009999999999996456e+00 3.840310539657323941e-01
1.030000000000000249e+00 6.646724731689424015e-01
1.050000000000004929e+00 7.106594736707765314e-01
1.069999999999994955e+00 6.159076358454946831e-01
1.090000000000000524e+00 6.594594532357388461e-01
1.110000000000007203e+00 5.723188907050378305e-01
1.129999999999996785e+00 3.681597486342476633e-01
1.150000000000000577e+00 6.516874187480584668e-01
1.169999999999997708e+00 4.006535727523675150e-01
1.189999999999998170e+00 8.852564824831771206e-01
1.209999999999998632e+00 9.632636133330803041e-01
1.229999999999999760e+00 5.696737028784704115e-01
1.250000000000000000e+00 3.008674727084376110e-01
1.269999999999999574e+00 7.286653535319053132e-01
1.290000000000002700e+00 6.120804538193040933e-01
1.310000000000001830e+00 6.391904640585112096e-01
1.330000000000000293e+00 3.543494799296684206e-01
1.350000000000002975e+00 5.588833231486374231e-01
1.370000000000003437e+00 5.844299540311933550e-01
1.389999999999991465e+00 2.433141889911105693e-01
1.410000000000005249e+00 4.335113343546384002e-01
1.430000000000005489e+00 9.578866772810221697e-01
1.449999999999993294e+00 5.962527173856209117e-01
1.470000000000007967e+00 6.526561200722253986e-01
1.490000000000005320e+00 5.293775017521730186e-01
1.509999999999994680e+00 3.779947082955397719e-01
1.529999999999991145e+00 3.347065664853687283e-01
1.550000000000006928e+00 5.217997169906121169e-01
1.569999999999994289e+00 5.721641011527319742e-01
1.589999999999992530e+00 2.479381124532946679e-01
1.610000000000009202e+00 6.649953712835762198e-01
1.629999999999996341e+00 7.667362015475222004e-01
1.649999999999993472e+00 5.180272167104428283e-01
1.670000000000003038e+00 6.742584333642831496e-01
1.689999999999997948e+00 7.132604588131961076e-01
1.709999999999993081e+00 6.162883284803419848e-01
1.730000000000005089e+00 7.068381791337756681e-01
1.750000000000000000e+00 6.396059022795526072e-01
1.769999999999994689e+00 8.002986849771290823e-01
1.790000000000007585e+00 4.646182870787283758e-01
1.810000000000002052e+00 3.109102659280754688e-01
1.829999999999995852e+00 6.316995105711600278e-01
1.850000000000008304e+00 4.349698880668869116e-01
1.870000000000003659e+00 7.169946315212419874e-01
1.889999999999990132e+00 5.044910354933521690e-01
1.910000000000010356e+00 5.798909618440776237e-01
1.930000000000005933e+00 5.889695001537086361e-01
1.949999999999992184e+00 5.563447739056730512e-01
1.970000000000013074e+00 4.441603398881363018e-01
1.990000000000006208e+00 4.550627700044565516e-01
2.009999999999993570e+00 3.878712377666496125e-01
2.029999999999986926e+00 6.654657895377346088e-01
2.050000000000006484e+00 5.593238860163999293e-01
2.069999999999995843e+00 6.217103910901565778e-01
2.089999999999990976e+00 4.843074572514831644e-01
