# r Si-Si
9.999999999999958575e-03 0.000000000000000000e+00
3.000000000000007522e-02 0.000000000000000000e+00
5.000000000000018319e-02 0.000000000000000000e+00
7.000000000000020095e-02 0.000000000000000000e+00
8.999999999999988565e-02 0.000000000000000000e+00
1.099999999999996397e-01 0.000000000000000000e+00
1.299999999999997824e-01 5.783900775377608383e-01
1.499999999999992728e-01 1.303944494330692150e+00
1.700000000000010392e-01 1.354019167692086523e+00
1.899999999999995859e-01 5.421073051460936210e-01
2.100000000000007139e-01 8.876802398464739285e-01
2.299999999999987887e-01 5.550796462012268506e-01
2.500000000000000000e-01 1.409594581291388815e+00
2.700000000000010170e-01 8.057280422006832810e-01
2.900000000000002576e-01 1.164113151304208227e+00
3.100000000000011080e-01 6.112804980357466889e-01
3.299999999999986278e-01 9.889974765241754673e-01
3.499999999999990896e-01 8.792284421330275324e-01
3.700000000000007172e-01 1.144390104729043234e+00
3.900000000000005129e-01 8.369167554906605799e-01
4.099999999999976996e-01 6.990217907752143134e-01
4.300000000000027134e-01 1.165120314809302782e+00
4.500000000000018985e-01 8.704408935163393535e-01
4.699999999999990852e-01 1.285582773428830539e+00
4.899999999999978262e-01 1.019649359346136652e+00
5.100000000000020073e-01 5.271027974690610796e-01
5.300000000000009148e-01 6.275271557908500553e-01
5.499999999999992673e-01 8.093382530552613030e-01
5.699999999999962874e-01 1.054962615779787116e+00
5.900000000000026334e-01 9.283924990274798894e-01
6.100000000000020961e-01 1.052748690036482193e+00
6.299999999999977840e-01 9.869739986200278814e-01
6.500000000000031308e-01 8.808174547798141019e-01
6.699999999999979305e-01 1.003550588944339017e+00
6.899999999999982814e-01 1.213631154015805125e+00
7.100000000000004086e-01 9.325220610077186167e-01
7.299999999999976508e-01 7.167290603063598553e-01
7.500000000000000000e-01 9.053538924056325765e-01
7.700000000000027933e-01 9.250079225204739242e-01
7.899999999999988143e-01 1.161228359047185243e+00
8.100000000000018296e-01 8.209824612073242101e-01
8.300000000000040679e-01 7.961119085443290055e-01
8.499999999999963141e-01 9.353076673672980901e-01
8.700000000000028821e-01 1.048070940220352965e+00
8.899999999999942402e-01 1.088047047056386774e+00
9.099999999999971445e-01 1.064401640034869478e+00
9.300000000000049338e-01 9.172034419039531983e-01
9.499999999999956257e-01 9.875098428281702256e-01
9.699999999999989742e-01 9.472090301975198967e-01
9.900000000000033218e-01 9.992591463378573957e-01
1.009999999999996456e+00 9.888799639617624759e-01
1.030000000000000249e+00 1.052398082517493005e+00
1.050000000000004929e+00 1.012689749980857812e+00
1.069999999999994955e+00 1.129163999050074141e+00
1.090000000000000524e+00 8.490540460410138657e-01
1.110000000000007203e+00 1.001558058733817314e+00
1.129999999999996785e+00 1.211859172587733458e+00
1.150000000000000577e+00 1.044180977766775875e+00
1.169999999999997708e+00 9.873248757111923180e-01
1.189999999999998170e+00 8.921725487525762333e-01
1.209999999999998632e+00 9.833316052775180616e-01
1.229999999999999760e+00 9.516140263992619586e-01
1.250000000000000000e+00 1.009159648042885271e+00
