# r Si-Si
9.999999999999958575e-03 1.762932956335095241e+03
3.000000000000007522e-02 0.000000000000000000e+00
5.000000000000018319e-02 1.237145934270242549e+02
7.000000000000020095e-02 4.764683665770526488e+01
8.999999999999988565e-02 9.633513422596147180e+00
1.099999999999996397e-01 6.457629876685327730e+00
1.299999999999997824e-01 0.000000000000000000e+00
1.499999999999992728e-01 0.000000000000000000e+00
1.700000000000010392e-01 0.000000000000000000e+00
1.899999999999995859e-01 0.000000000000000000e+00
2.100000000000007139e-01 1.775360479692947857e+00
2.299999999999987887e-01 0.000000000000000000e+00
2.500000000000000000e-01 0.000000000000000000e+00
2.700000000000010170e-01 2.148608112535155268e+00
2.900000000000002576e-01 9.312905210433666259e-01
3.100000000000011080e-01 8.150406640476622888e-01
3.299999999999986278e-01 0.000000000000000000e+00
3.499999999999990896e-01 6.394388670058382962e-01
3.700000000000007172e-01 0.000000000000000000e+00
3.900000000000005129e-01 1.545077087059680832e+00
4.099999999999976996e-01 9.320290543669526029e-01
4.300000000000027134e-01 0.000000000000000000e+00
4.500000000000018985e-01 3.868626193405951263e-01
4.699999999999990852e-01 7.092870474090102739e-01
4.899999999999978262e-01 0.000000000000000000e+00
5.100000000000020073e-01 0.000000000000000000e+00
5.300000000000009148e-01 1.115603832517066518e+00
5.499999999999992673e-01 7.769647229330509663e-01
5.699999999999962874e-01 7.234029365347114382e-01
5.900000000000026334e-01 2.250648482490861246e-01
6.100000000000020961e-01 6.316492140218890050e-01
6.299999999999977840e-01 3.947895994480114523e-01
6.500000000000031308e-01 5.563057609135666493e-01
6.699999999999979305e-01 1.745305372077111949e-01
6.899999999999982814e-01 9.873609388603152848e-01
7.100000000000004086e-01 6.216813740051458925e-01
7.299999999999976508e-01 5.880853828154746221e-01
7.500000000000000000e-01 6.964260710812564259e-01
7.700000000000027933e-01 7.928639335889782203e-01
7.899999999999988143e-01 1.004305607824593771e+00
8.100000000000018296e-01 3.582468921631959402e-01
8.300000000000040679e-01 4.549210905967598917e-01
8.499999999999963141e-01 6.506488120815991927e-01
8.700000000000028821e-01 6.210790756861354067e-01
8.899999999999942402e-01 1.186960414970605004e+00
9.099999999999971445e-01 6.622943537994754326e-01
9.300000000000049338e-01 4.529399713105938807e-01
9.499999999999956257e-01 7.813264690508607835e-01
9.699999999999989742e-01 4.996267412030873656e-01
9.900000000000033218e-01 7.194665853632566943e-01
1.009999999999996456e+00 6.912558971383182538e-01
1.030000000000000249e+00 8.862299642252565723e-01
1.050000000000004929e+00 4.263956842024659855e-01
1.069999999999994955e+00 9.580785446485474699e-01
1.090000000000000524e+00 7.254053985593127418e-01
1.110000000000007203e+00 5.087279028489225530e-01
1.129999999999996785e+00 5.522396229513715227e-01
1.150000000000000577e+00 4.739544863622243143e-01
1.169999999999997708e+00 4.006535727523675150e-01
1.189999999999998170e+00 2.213141206207943357e-01
1.209999999999998632e+00 5.351464518517112801e-01
1.229999999999999760e+00 4.143081475479785114e-01
1.250000000000000000e+00 7.521686817710939721e-01
1.269999999999999574e+00 4.371992121191433101e-01
1.290000000000002700e+00 4.708311183225416530e-01
1.310000000000001830e+00 6.391904640585112096e-01
1.330000000000000293e+00 6.201115898769197221e-01
1.350000000000002975e+00 9.887935717245128764e-01
1.370000000000003437e+00 8.348999343302759835e-01
1.389999999999991465e+00 5.271807428140729002e-01
1.410000000000005249e+00 3.941012130496712729e-01
1.430000000000005489e+00 4.981010721861314772e-01
1.449999999999993294e+00 5.589869225490196047e-01
1.470000000000007967e+00 5.438801000601877211e-01
1.490000000000005320e+00 5.999611686524627396e-01
1.509999999999994680e+00 5.154473294939180272e-01
1.529999999999991145e+00 5.690011630251268215e-01
1.550000000000006928e+00 3.913497877429590877e-01
1.569999999999994289e+00 5.085903121357616685e-01
1.589999999999992530e+00 6.198452811332364476e-01
1.610000000000009202e+00 5.440871219592896546e-01
1.629999999999996341e+00 3.538782468680871651e-01
1.649999999999993472e+00 5.468065065276896952e-01
1.670000000000003038e+00 3.652233180723202244e-01
1.689999999999997948e+00 5.760949859645045912e-01
1.709999999999993081e+00 4.287223154645856127e-01
1.730000000000005089e+00 6.806589873140062030e-01
1.750000000000000000e+00 5.116847218236421080e-01
1.769999999999994689e+00 8.253080188826643626e-01
